Fullname, Course, Score, Experience, StudyMode, StudyPattern
Elizabeth Anderson,Doctor of Podiatric Medicine (D.P.M.),75,nursing,on-campus,
Edward Ramirez,Doctor of Dental Medicine (D.M.D.),57,dentistry,on-campus,FT
Michelle Hawkins,Master of Health Administration (M.H.A.),88,physiotherapy,,
Shirley Cooley,Doctor of Pharmacy (Pharm.D.),89,nutrition,,PT
Seth Clark,Doctor of Veterinary Medicine (D.V.M.),97,nursing,online,PT
Ann Lewis,Master of Health Administration (M.H.A.),97,,on-campus,FT
Joshua Stokes,Bachelor of Science in Nursing (B.S.N.),98,,on-campus,PT
Chad Smith,Master of Public Health (M.P.H.),54,physiotherapy,,PT
Melissa Pham,Doctor of Physical Therapy (D.P.T.),60,physiotherapy,,
Paige Watson,Doctor of Pharmacy (Pharm.D.),50,dentistry,,
Anna Harrison,Doctor of Chiropractic (D.C.),75,dentistry,online,FT
Hannah Ruiz,Doctor of Optometry (O.D.),58,,on-campus,FT
Daniel Bird,Doctor of Nursing Practice (D.N.P.),88,surgery,online,FT
Kyle Davis,Master of Health Administration (M.H.A.),62,physiotherapy,online,
Johnny Mosley,Doctor of Medicine (M.D.),51,surgery,online,
Mark Ward,Doctor of Optometry (O.D.),53,immunology,on-campus,PT
Evelyn Booth DDS,Doctor of Dental Medicine (D.M.D.),70,nursing,,PT
John Liu,Doctor of Physical Therapy (D.P.T.),89,surgery,on-campus,FT
Jacqueline Herrera,Doctor of Optometry (O.D.),85,immunology,,FT
James Glenn,Doctor of Dental Medicine (D.M.D.),58,immunology,on-campus,FT
Jennifer Mays,Doctor of Veterinary Medicine (D.V.M.),58,nursing,,
Jonathan Powers,Bachelor of Science in Biomedical Science (B.S.),67,surgery,online,
Belinda Moreno,Doctor of Veterinary Medicine (D.V.M.),57,,online,
Savannah Johnson,Doctor of Pharmacy (Pharm.D.),64,physiotherapy,online,FT
Joseph Wagner,Master of Public Health (M.P.H.),91,nutrition,,FT
Paul Freeman,Master of Health Administration (M.H.A.),98,physiotherapy,,
Brittany Jones,Master of Health Administration (M.H.A.),69,physiotherapy,on-campus,FT
Erica Wong,Doctor of Physical Therapy (D.P.T.),53,,,
Dorothy Berry,Master of Public Health (M.P.H.),94,dentistry,,
Billy Williams,Doctor of Podiatric Medicine (D.P.M.),86,nursing,online,
David Gray,Doctor of Podiatric Medicine (D.P.M.),53,,on-campus,FT
David Duran,Doctor of Physical Therapy (D.P.T.),52,nursing,,FT
Laura White,Doctor of Medicine (M.D.),85,physiotherapy,online,FT
Tyler Perez,Doctor of Osteopathic Medicine (D.O.),89,,,PT
Teresa Mayer,Doctor of Dental Medicine (D.M.D.),50,dentistry,online,FT
Yolanda Cooper,Doctor of Dental Medicine (D.M.D.),59,surgery,on-campus,
Phillip Davis,Bachelor of Science in Nursing (B.S.N.),99,nutrition,,
Sandra Hunt,Doctor of Dental Surgery (D.D.S.),68,physiotherapy,on-campus,
Jennifer Dominguez,Doctor of Physical Therapy (D.P.T.),51,,,FT
Maureen Caldwell,Bachelor of Science in Nursing (B.S.N.),92,dentistry,online,
Austin Williams,Doctor of Optometry (O.D.),83,,,PT
Brian Garcia,Doctor of Podiatric Medicine (D.P.M.),73,physiotherapy,,FT
Cynthia Johnson,Master of Public Health (M.P.H.),61,,online,PT
Todd Williams,Doctor of Pharmacy (Pharm.D.),95,nursing,on-campus,FT
Brenda Gardner,Doctor of Physical Therapy (D.P.T.),89,dentistry,online,
Veronica Anderson,Doctor of Nursing Practice (D.N.P.),71,dentistry,on-campus,PT
Julie Buchanan,Master of Public Health (M.P.H.),56,surgery,,
Samantha Chang,Doctor of Dental Surgery (D.D.S.),93,nutrition,online,PT
Kelly Henry,Doctor of Optometry (O.D.),58,nursing,on-campus,
Justin Baxter,Doctor of Dental Surgery (D.D.S.),97,nursing,online,PT
Jo Moore,Doctor of Dental Surgery (D.D.S.),53,,,PT
Erica Watkins,Doctor of Optometry (O.D.),59,immunology,online,PT
Timothy Bates,Doctor of Veterinary Medicine (D.V.M.),57,nutrition,on-campus,PT
Mr. Darrell Walker,Doctor of Dental Surgery (D.D.S.),72,nutrition,on-campus,PT
Amanda Velasquez,Doctor of Pharmacy (Pharm.D.),66,physiotherapy,on-campus,PT
Robert Ross,Doctor of Pharmacy (Pharm.D.),100,nutrition,online,PT
Willie Lee,Bachelor of Science in Nursing (B.S.N.),93,nutrition,,FT
Daniel Holden,Master of Health Administration (M.H.A.),73,dentistry,online,
Kelly Johnson,Bachelor of Science in Nursing (B.S.N.),58,nutrition,,
Melissa Valentine,Doctor of Pharmacy (Pharm.D.),72,nutrition,on-campus,PT
Andrew Meyer,Master of Public Health (M.P.H.),72,physiotherapy,,PT
Austin Richardson,Doctor of Optometry (O.D.),53,immunology,,FT
Kevin Reyes,Doctor of Pharmacy (Pharm.D.),58,dentistry,online,
Stephanie Figueroa,Doctor of Veterinary Medicine (D.V.M.),58,immunology,online,
Barbara Obrien,Bachelor of Science in Nursing (B.S.N.),97,nutrition,,
Krista Sanchez,Doctor of Optometry (O.D.),67,nutrition,on-campus,
Bruce Norman,Doctor of Dental Medicine (D.M.D.),50,,,PT
Christopher May,Doctor of Nursing Practice (D.N.P.),63,surgery,online,PT
Matthew Taylor,Master of Health Administration (M.H.A.),89,nursing,on-campus,FT
Patricia Moody,Bachelor of Science in Biomedical Science (B.S.),87,dentistry,online,PT
Christine Fisher,Doctor of Dental Medicine (D.M.D.),86,immunology,on-campus,
Dawn Gutierrez,Doctor of Chiropractic (D.C.),75,physiotherapy,online,PT
Sheila Rosales,Doctor of Dental Surgery (D.D.S.),71,,on-campus,FT
Reginald Crane,Doctor of Dental Medicine (D.M.D.),99,physiotherapy,online,FT
Hannah Wilson,Doctor of Dental Medicine (D.M.D.),98,physiotherapy,on-campus,FT
Erica Coleman,Doctor of Dental Surgery (D.D.S.),51,nutrition,,FT
Katherine Mack,Bachelor of Science in Biomedical Science (B.S.),95,dentistry,on-campus,PT
Jonathon Payne,Doctor of Veterinary Medicine (D.V.M.),93,physiotherapy,on-campus,FT
Nancy Deleon,Doctor of Optometry (O.D.),75,,on-campus,
Sally Cantu,Doctor of Chiropractic (D.C.),59,nutrition,,PT
Andrew Campbell,Doctor of Optometry (O.D.),68,physiotherapy,on-campus,FT
Xavier Mcbride,Doctor of Veterinary Medicine (D.V.M.),95,,online,FT
Jorge Powell,Doctor of Optometry (O.D.),90,physiotherapy,on-campus,
Michele Smith,Doctor of Medicine (M.D.),54,surgery,on-campus,PT
Thomas Andrews,Doctor of Medicine (M.D.),55,physiotherapy,online,PT
Christopher Mcgrath,Doctor of Pharmacy (Pharm.D.),94,nursing,on-campus,FT
Rachael Wilson,Doctor of Physical Therapy (D.P.T.),92,dentistry,on-campus,FT
James Cooper,Doctor of Chiropractic (D.C.),67,nursing,,
Amy Ramirez,Doctor of Physical Therapy (D.P.T.),87,nutrition,online,PT
Tommy Riley,Master of Public Health (M.P.H.),65,nursing,,FT
Joseph Walsh,Bachelor of Science in Biomedical Science (B.S.),59,nursing,,PT
Amy Jones,Doctor of Osteopathic Medicine (D.O.),99,physiotherapy,,PT
Rita Wise,Doctor of Chiropractic (D.C.),58,,online,FT
Jonathan Benson,Doctor of Nursing Practice (D.N.P.),54,physiotherapy,online,PT
James Long,Doctor of Dental Medicine (D.M.D.),50,surgery,online,PT
Randall Ward,Bachelor of Science in Biomedical Science (B.S.),53,physiotherapy,online,
Thomas Dixon,Doctor of Physical Therapy (D.P.T.),51,immunology,on-campus,
David Cruz,Doctor of Dental Surgery (D.D.S.),88,dentistry,online,FT
Kristen Moore,Doctor of Physical Therapy (D.P.T.),88,nursing,on-campus,PT
Alexander Brown,Bachelor of Science in Nursing (B.S.N.),64,nursing,,
Alexandra Wolf,Master of Health Administration (M.H.A.),77,nursing,online,
Tamara Smith,Doctor of Dental Surgery (D.D.S.),73,nutrition,,FT
Eric Solis,Doctor of Pharmacy (Pharm.D.),75,dentistry,online,FT
Brian Schneider,Doctor of Physical Therapy (D.P.T.),90,nutrition,,
Jesus Rodriguez,Doctor of Dental Medicine (D.M.D.),50,immunology,online,
Amanda Gonzalez,Doctor of Podiatric Medicine (D.P.M.),85,nursing,,PT
Donald Adams,Doctor of Veterinary Medicine (D.V.M.),51,nursing,online,PT
Philip Wilson,Doctor of Optometry (O.D.),87,nutrition,on-campus,FT
Wendy Williams,Doctor of Physical Therapy (D.P.T.),76,,online,PT
Heather Williams,Doctor of Veterinary Medicine (D.V.M.),73,nutrition,on-campus,PT
Sally Thomas,Doctor of Dental Surgery (D.D.S.),73,,on-campus,
Mrs. Caitlin Jackson,Master of Health Administration (M.H.A.),83,physiotherapy,online,
Aaron Miller,Master of Health Administration (M.H.A.),59,nursing,,FT
Sarah Smith,Bachelor of Science in Biomedical Science (B.S.),76,nursing,,FT
Amy Gilbert,Doctor of Nursing Practice (D.N.P.),78,nursing,on-campus,FT
Joshua Knight,Doctor of Optometry (O.D.),50,physiotherapy,online,PT
Joseph Holloway,Doctor of Dental Surgery (D.D.S.),71,immunology,online,PT
Terry Perez,Doctor of Pharmacy (Pharm.D.),92,nutrition,online,
Bob Payne,Doctor of Dental Medicine (D.M.D.),95,nursing,on-campus,PT
Paul Carroll,Doctor of Dental Medicine (D.M.D.),79,nursing,online,
Sean Perry,Doctor of Nursing Practice (D.N.P.),92,dentistry,on-campus,
William King,Doctor of Optometry (O.D.),50,dentistry,on-campus,
Taylor Morris,Doctor of Osteopathic Medicine (D.O.),100,surgery,,PT
John Allen,Doctor of Nursing Practice (D.N.P.),54,dentistry,,
Randall Livingston,Bachelor of Science in Nursing (B.S.N.),72,,online,PT
Casey Alexander,Doctor of Optometry (O.D.),60,surgery,online,FT
Jennifer Bender,Doctor of Optometry (O.D.),97,nutrition,online,PT
Paula Lee,Doctor of Medicine (M.D.),57,dentistry,online,PT
Timothy Anderson,Doctor of Veterinary Medicine (D.V.M.),68,nursing,,FT
Leon Bowers Jr.,Doctor of Dental Surgery (D.D.S.),51,,,
Jonathan Gonzalez,Doctor of Physical Therapy (D.P.T.),62,immunology,,
Allison Hamilton,Doctor of Nursing Practice (D.N.P.),71,surgery,on-campus,FT
Michael Lane,Doctor of Dental Medicine (D.M.D.),96,immunology,,FT
Gina Leonard,Doctor of Veterinary Medicine (D.V.M.),66,dentistry,on-campus,FT
Heather Arnold,Doctor of Dental Surgery (D.D.S.),94,immunology,on-campus,PT
Thomas Rosales,Doctor of Physical Therapy (D.P.T.),53,dentistry,online,FT
Robert Riley,Doctor of Physical Therapy (D.P.T.),57,surgery,on-campus,FT
Tammy Smith,Doctor of Veterinary Medicine (D.V.M.),75,,online,PT
Jason Rowland,Doctor of Nursing Practice (D.N.P.),72,dentistry,on-campus,
Angela Hall,Doctor of Pharmacy (Pharm.D.),59,dentistry,,PT
John Mora,Doctor of Chiropractic (D.C.),79,nutrition,on-campus,FT
Justin Klein,Master of Health Administration (M.H.A.),63,physiotherapy,online,
Ashley Allen,Doctor of Pharmacy (Pharm.D.),55,nursing,online,
Dustin Adams,Master of Health Administration (M.H.A.),71,nursing,online,
Paige Taylor,Bachelor of Science in Biomedical Science (B.S.),52,nursing,online,
Kathleen Martin,Doctor of Dental Surgery (D.D.S.),84,nursing,online,PT
Richard Clark,Doctor of Dental Medicine (D.M.D.),79,dentistry,,FT
Charles Michael,Doctor of Podiatric Medicine (D.P.M.),78,physiotherapy,on-campus,PT
John Hernandez,Bachelor of Science in Biomedical Science (B.S.),81,immunology,on-campus,FT
Patrick Reynolds,Doctor of Dental Medicine (D.M.D.),84,immunology,online,FT
Sophia Beasley,Bachelor of Science in Biomedical Science (B.S.),67,physiotherapy,online,PT
Shannon Medina,Doctor of Nursing Practice (D.N.P.),59,immunology,online,FT
Jesus Spence,Doctor of Osteopathic Medicine (D.O.),66,physiotherapy,on-campus,
Bobby Adams,Master of Health Administration (M.H.A.),71,surgery,on-campus,PT
Anthony Sanchez,Doctor of Osteopathic Medicine (D.O.),57,dentistry,,PT
Matthew Turner,Doctor of Physical Therapy (D.P.T.),78,,,
Gilbert Kim,Doctor of Physical Therapy (D.P.T.),50,physiotherapy,,FT
Shane Dudley,Doctor of Medicine (M.D.),100,,online,FT
Michael Smith,Bachelor of Science in Biomedical Science (B.S.),66,physiotherapy,online,FT
Leslie Morgan,Doctor of Optometry (O.D.),97,surgery,,PT
Carlos Owens,Bachelor of Science in Nursing (B.S.N.),85,surgery,on-campus,
Nicole Brown,Doctor of Pharmacy (Pharm.D.),50,,online,
Tammy Bennett,Doctor of Chiropractic (D.C.),89,,,
Jeremy Perry,Doctor of Dental Medicine (D.M.D.),100,dentistry,,FT
Denise Smith,Doctor of Medicine (M.D.),86,nutrition,,
Kimberly York,Doctor of Medicine (M.D.),52,immunology,,FT
Joseph Lamb,Doctor of Chiropractic (D.C.),94,dentistry,online,PT
Erin Alvarez,Doctor of Optometry (O.D.),57,,,FT
Kathleen Flores,Doctor of Veterinary Medicine (D.V.M.),57,nutrition,on-campus,FT
Robert Pace,Doctor of Dental Surgery (D.D.S.),89,,on-campus,PT
Sarah Allen,Doctor of Osteopathic Medicine (D.O.),88,nursing,online,PT
Yesenia Anderson,Doctor of Pharmacy (Pharm.D.),90,physiotherapy,online,
Malik Jackson,Doctor of Dental Surgery (D.D.S.),98,nursing,online,
Felicia Hill,Doctor of Optometry (O.D.),99,,on-campus,FT
Patrick Shields,Doctor of Veterinary Medicine (D.V.M.),68,nutrition,on-campus,FT
Mary Cantu,Bachelor of Science in Nursing (B.S.N.),61,,on-campus,FT
Anthony Ali,Doctor of Nursing Practice (D.N.P.),71,physiotherapy,online,FT
Shannon Marsh,Doctor of Nursing Practice (D.N.P.),63,physiotherapy,online,
Andrea Avery,Bachelor of Science in Biomedical Science (B.S.),68,dentistry,on-campus,
Bruce Brown,Doctor of Veterinary Medicine (D.V.M.),68,immunology,,FT
Cheryl Monroe,Bachelor of Science in Biomedical Science (B.S.),91,physiotherapy,,
Marco Johnson,Doctor of Pharmacy (Pharm.D.),72,immunology,on-campus,PT
Brittany Payne,Doctor of Chiropractic (D.C.),84,physiotherapy,,
Elizabeth Dixon,Doctor of Dental Medicine (D.M.D.),59,immunology,online,
Kayla Burns MD,Doctor of Optometry (O.D.),86,surgery,online,FT
Karen Johnson,Doctor of Optometry (O.D.),59,nursing,online,
Christian Perez,Doctor of Osteopathic Medicine (D.O.),71,,online,FT
Jeremiah English,Doctor of Optometry (O.D.),98,dentistry,online,PT
Suzanne Conner,Master of Public Health (M.P.H.),97,nursing,on-campus,FT
Walter Parker,Doctor of Chiropractic (D.C.),96,surgery,online,FT
Miranda Lawrence,Bachelor of Science in Biomedical Science (B.S.),51,nutrition,on-campus,FT
Ryan Brown,Doctor of Dental Medicine (D.M.D.),76,,online,FT
Hunter Palmer,Doctor of Optometry (O.D.),63,surgery,online,PT
Guy Walsh,Doctor of Physical Therapy (D.P.T.),89,,online,PT
Daniel Pratt,Doctor of Medicine (M.D.),62,immunology,on-campus,FT
Theodore Mckenzie III,Doctor of Physical Therapy (D.P.T.),51,immunology,online,PT
Tracy Clements,Doctor of Dental Medicine (D.M.D.),89,,online,FT
Rachel Robertson,Doctor of Chiropractic (D.C.),83,dentistry,,PT
Sean Spears,Bachelor of Science in Biomedical Science (B.S.),66,,online,FT
Veronica Ellis,Doctor of Dental Medicine (D.M.D.),83,nursing,,
Thomas Harper,Doctor of Podiatric Medicine (D.P.M.),82,surgery,online,FT
Patricia Klein,Doctor of Dental Medicine (D.M.D.),97,nutrition,on-campus,FT
Jamie Parks,Doctor of Veterinary Medicine (D.V.M.),50,surgery,on-campus,FT
Nathan Cain,Doctor of Chiropractic (D.C.),89,immunology,,
William Oliver,Doctor of Dental Surgery (D.D.S.),95,nursing,online,PT
Danielle Johnson,Doctor of Pharmacy (Pharm.D.),77,immunology,online,
Robert Thomas,Doctor of Medicine (M.D.),91,immunology,on-campus,FT
Christine Hebert,Doctor of Dental Surgery (D.D.S.),80,nursing,,PT
Todd Pham,Doctor of Dental Medicine (D.M.D.),53,dentistry,,
Jessica Stewart,Doctor of Optometry (O.D.),64,nutrition,,FT
Travis Walter,Master of Health Administration (M.H.A.),97,nursing,,FT
Patrick Poole,Doctor of Physical Therapy (D.P.T.),95,,on-campus,FT
Darin Mccann,Doctor of Pharmacy (Pharm.D.),66,surgery,online,PT
Katherine Reed,Doctor of Nursing Practice (D.N.P.),100,immunology,on-campus,
Veronica Anderson,Doctor of Physical Therapy (D.P.T.),56,surgery,,
Christopher Chapman,Doctor of Veterinary Medicine (D.V.M.),96,immunology,on-campus,FT
Michael Coleman,Master of Health Administration (M.H.A.),52,dentistry,on-campus,FT
Corey Bailey,Doctor of Pharmacy (Pharm.D.),62,immunology,online,PT
Sierra Howard,Bachelor of Science in Nursing (B.S.N.),94,immunology,on-campus,FT
Nicole Hansen,Doctor of Osteopathic Medicine (D.O.),64,nutrition,online,
Michael Pearson,Bachelor of Science in Nursing (B.S.N.),69,nursing,on-campus,FT
Robert Fernandez,Bachelor of Science in Biomedical Science (B.S.),67,nutrition,,PT
Robert Acosta IV,Bachelor of Science in Biomedical Science (B.S.),70,physiotherapy,,
Rachel Johnson PhD,Doctor of Dental Medicine (D.M.D.),54,,online,FT
Kelsey Anderson,Doctor of Pharmacy (Pharm.D.),54,surgery,,PT
Edward Davis,Master of Public Health (M.P.H.),86,nutrition,online,PT
Nancy Barnes,Doctor of Pharmacy (Pharm.D.),68,nutrition,on-campus,FT
Kathy Jennings,Doctor of Pharmacy (Pharm.D.),98,,,PT
Julie Shepherd,Doctor of Veterinary Medicine (D.V.M.),93,immunology,,FT
Michael Gonzalez,Master of Public Health (M.P.H.),61,dentistry,,FT
Jessica Johnson,Master of Health Administration (M.H.A.),58,dentistry,on-campus,PT
Gina Moore,Doctor of Dental Medicine (D.M.D.),99,nutrition,online,FT
Leah Cook,Master of Public Health (M.P.H.),84,nutrition,on-campus,FT
Kimberly Williamson,Doctor of Optometry (O.D.),70,physiotherapy,on-campus,PT
Patricia Thomas,Doctor of Dental Surgery (D.D.S.),71,dentistry,on-campus,FT
Debra Bailey,Doctor of Veterinary Medicine (D.V.M.),73,dentistry,on-campus,
Ricky Hernandez,Doctor of Veterinary Medicine (D.V.M.),59,surgery,,FT
Maria Stanley,Bachelor of Science in Biomedical Science (B.S.),81,,online,PT
Maxwell Lee,Master of Public Health (M.P.H.),54,nutrition,online,FT
Ryan Suarez,Doctor of Medicine (M.D.),84,dentistry,online,PT
Paul Smith,Doctor of Physical Therapy (D.P.T.),64,surgery,on-campus,FT
Joshua Young,Doctor of Optometry (O.D.),74,,online,
Darren Adams,Doctor of Nursing Practice (D.N.P.),88,nursing,on-campus,
John Ford,Doctor of Optometry (O.D.),74,nutrition,online,PT
Jaclyn Hart,Doctor of Chiropractic (D.C.),96,dentistry,online,
Kevin Flores,Doctor of Pharmacy (Pharm.D.),54,nutrition,,
Mr. Isaac Robinson,Doctor of Chiropractic (D.C.),54,immunology,,FT
Russell Hawkins,Doctor of Nursing Practice (D.N.P.),87,dentistry,on-campus,
Mark Reese,Doctor of Podiatric Medicine (D.P.M.),91,immunology,on-campus,PT
Kelly Gardner,Doctor of Dental Surgery (D.D.S.),56,nutrition,,PT
Kimberly Pope,Doctor of Pharmacy (Pharm.D.),56,nutrition,online,
Gregory Mullen,Master of Public Health (M.P.H.),70,physiotherapy,online,PT
Matthew Herring,Bachelor of Science in Biomedical Science (B.S.),58,immunology,on-campus,
Steven Lynn,Doctor of Medicine (M.D.),60,,,FT
Travis Davis,Doctor of Podiatric Medicine (D.P.M.),99,immunology,,
Michael Chapman,Doctor of Nursing Practice (D.N.P.),63,physiotherapy,,FT
Connie Acosta,Master of Health Administration (M.H.A.),89,dentistry,online,
Kim Hawkins,Bachelor of Science in Biomedical Science (B.S.),97,nutrition,online,FT
Austin Gibson,Bachelor of Science in Biomedical Science (B.S.),55,,on-campus,FT
Todd Ryan,Doctor of Medicine (M.D.),100,immunology,,PT
Kaylee Peterson,Doctor of Nursing Practice (D.N.P.),60,immunology,on-campus,FT
Dana Perry,Doctor of Veterinary Medicine (D.V.M.),59,surgery,online,
Melanie Davis,Doctor of Podiatric Medicine (D.P.M.),60,,on-campus,
Molly Flores,Doctor of Optometry (O.D.),50,immunology,on-campus,FT
Michael Hall,Doctor of Medicine (M.D.),73,nutrition,,
Lisa Hawkins,Master of Public Health (M.P.H.),62,,online,
Eric Brewer,Bachelor of Science in Biomedical Science (B.S.),68,physiotherapy,,FT
Kari Brooks,Doctor of Dental Surgery (D.D.S.),56,physiotherapy,online,FT
Micheal Graham,Doctor of Osteopathic Medicine (D.O.),74,immunology,online,PT
Kevin Perez,Bachelor of Science in Nursing (B.S.N.),69,dentistry,,PT
Kristin Wright,Doctor of Optometry (O.D.),66,physiotherapy,online,FT
Kayla Hobbs,Doctor of Osteopathic Medicine (D.O.),52,surgery,online,PT
Catherine James,Doctor of Chiropractic (D.C.),50,,,PT
Tara Miller,Doctor of Podiatric Medicine (D.P.M.),53,,online,FT
Janet Summers,Doctor of Dental Medicine (D.M.D.),85,nutrition,on-campus,
Sherri Ramsey,Doctor of Medicine (M.D.),100,immunology,online,FT
Thomas Gordon,Doctor of Podiatric Medicine (D.P.M.),67,nutrition,online,
George Bartlett,Doctor of Dental Medicine (D.M.D.),100,dentistry,on-campus,PT
Brianna Oneill,Doctor of Nursing Practice (D.N.P.),97,immunology,online,
Alyssa Nunez,Bachelor of Science in Nursing (B.S.N.),54,physiotherapy,online,FT
Cathy Reed,Doctor of Chiropractic (D.C.),66,immunology,online,
Leslie Allen,Doctor of Chiropractic (D.C.),84,nursing,on-campus,
Jennifer Foster,Doctor of Dental Medicine (D.M.D.),83,immunology,on-campus,FT
Kim Miller DVM,Master of Health Administration (M.H.A.),79,surgery,online,
Holly Lopez,Doctor of Dental Medicine (D.M.D.),79,immunology,online,PT
John Wise,Doctor of Physical Therapy (D.P.T.),64,nursing,on-campus,
Ian Rowland,Doctor of Chiropractic (D.C.),99,,on-campus,
Jennifer Nolan,Doctor of Physical Therapy (D.P.T.),55,dentistry,on-campus,PT
Mallory Rojas,Doctor of Veterinary Medicine (D.V.M.),90,,,
Elizabeth Smith,Doctor of Dental Medicine (D.M.D.),67,dentistry,online,FT
Samantha Snyder,Doctor of Physical Therapy (D.P.T.),97,surgery,online,PT
Steven Gross,Doctor of Dental Surgery (D.D.S.),89,physiotherapy,on-campus,
Kathleen Hahn,Doctor of Chiropractic (D.C.),83,,on-campus,
Matthew Morgan,Doctor of Nursing Practice (D.N.P.),72,nursing,on-campus,FT
Thomas Cardenas,Doctor of Chiropractic (D.C.),55,dentistry,on-campus,
Ryan Brown,Doctor of Chiropractic (D.C.),71,surgery,on-campus,FT
Jeremy Jones,Doctor of Chiropractic (D.C.),61,,online,FT
Nicholas Patterson,Doctor of Optometry (O.D.),55,dentistry,on-campus,
Jennifer Mcdaniel,Doctor of Physical Therapy (D.P.T.),52,,on-campus,FT
Emma Daniels,Doctor of Pharmacy (Pharm.D.),81,nursing,on-campus,PT
Cameron Hines,Doctor of Optometry (O.D.),67,dentistry,,
Donald Gonzalez,Doctor of Nursing Practice (D.N.P.),59,immunology,,FT
Teresa White DDS,Doctor of Dental Surgery (D.D.S.),66,physiotherapy,online,PT
Matthew Kennedy,Doctor of Nursing Practice (D.N.P.),80,nutrition,on-campus,PT
Christine Potts,Master of Public Health (M.P.H.),53,surgery,online,FT
Mary Mathews,Doctor of Nursing Practice (D.N.P.),50,surgery,online,
Christopher Alvarez,Doctor of Dental Surgery (D.D.S.),84,dentistry,on-campus,PT
James Mclaughlin,Doctor of Pharmacy (Pharm.D.),58,surgery,on-campus,
Hailey Castillo,Bachelor of Science in Biomedical Science (B.S.),68,physiotherapy,online,PT
Kevin Davis,Doctor of Pharmacy (Pharm.D.),57,nursing,on-campus,PT
Dorothy Paul,Doctor of Dental Medicine (D.M.D.),79,dentistry,on-campus,PT
Cindy Wilkerson,Doctor of Dental Medicine (D.M.D.),98,dentistry,,FT
Brian Moore,Doctor of Pharmacy (Pharm.D.),61,,,
Lisa Kelly,Doctor of Podiatric Medicine (D.P.M.),85,dentistry,,FT
Matthew Davis,Doctor of Nursing Practice (D.N.P.),62,,on-campus,FT
Anna Copeland,Doctor of Nursing Practice (D.N.P.),65,surgery,,PT
Marissa Foster,Doctor of Podiatric Medicine (D.P.M.),91,physiotherapy,on-campus,PT
Daniel Nunez,Doctor of Dental Medicine (D.M.D.),80,nutrition,on-campus,FT
Amanda Compton,Doctor of Dental Medicine (D.M.D.),60,dentistry,,FT
Christina Bender,Doctor of Medicine (M.D.),64,physiotherapy,online,FT
Thomas Hoffman,Doctor of Chiropractic (D.C.),62,nursing,on-campus,FT
Ann Alvarado,Doctor of Chiropractic (D.C.),61,nursing,on-campus,PT
Cody Cameron,Doctor of Dental Surgery (D.D.S.),91,immunology,online,FT
Hannah Williams,Doctor of Medicine (M.D.),97,physiotherapy,online,FT
Robert Russell,Doctor of Pharmacy (Pharm.D.),94,dentistry,,PT
Shelley Potter,Doctor of Optometry (O.D.),68,nutrition,on-campus,
Emily Craig,Doctor of Physical Therapy (D.P.T.),70,immunology,on-campus,PT
Christopher Fields,Master of Public Health (M.P.H.),93,nutrition,on-campus,
Collin Flores,Doctor of Optometry (O.D.),97,nutrition,online,FT
April Humphrey,Doctor of Dental Medicine (D.M.D.),69,dentistry,,FT
Marissa Robinson,Doctor of Pharmacy (Pharm.D.),62,nutrition,,PT
Jessica Martinez,Doctor of Pharmacy (Pharm.D.),57,dentistry,on-campus,FT
Donald Sanchez,Doctor of Physical Therapy (D.P.T.),72,surgery,on-campus,PT
Cynthia Phillips,Doctor of Pharmacy (Pharm.D.),85,dentistry,,FT
Stacey Moss,Doctor of Physical Therapy (D.P.T.),51,immunology,on-campus,
Kimberly Vasquez,Doctor of Medicine (M.D.),64,physiotherapy,,PT
Christina Holmes,Master of Public Health (M.P.H.),92,nutrition,on-campus,
Katherine Mckinney,Doctor of Medicine (M.D.),60,nutrition,on-campus,PT
Lori Patterson,Doctor of Optometry (O.D.),77,surgery,on-campus,FT
John Green,Doctor of Podiatric Medicine (D.P.M.),57,physiotherapy,online,
Kelly Estrada,Master of Public Health (M.P.H.),73,surgery,online,PT
Bryan Riley,Doctor of Medicine (M.D.),61,physiotherapy,on-campus,FT
Reginald Cruz,Doctor of Medicine (M.D.),73,dentistry,online,FT
Katie Brown,Doctor of Veterinary Medicine (D.V.M.),56,nursing,online,
Christine Johnson,Doctor of Pharmacy (Pharm.D.),84,immunology,on-campus,FT
Kenneth Guzman,Doctor of Dental Medicine (D.M.D.),57,surgery,,FT
Richard Morris,Master of Public Health (M.P.H.),51,nutrition,on-campus,FT
Michelle Brown,Master of Health Administration (M.H.A.),89,immunology,,PT
Kenneth Roberts,Doctor of Optometry (O.D.),96,physiotherapy,,
Christopher Rodriguez,Doctor of Optometry (O.D.),63,physiotherapy,on-campus,PT
John Lloyd,Doctor of Veterinary Medicine (D.V.M.),83,,,
David Jackson,Doctor of Pharmacy (Pharm.D.),66,nutrition,,PT
Joshua Frazier,Doctor of Dental Surgery (D.D.S.),54,nursing,online,
Gregory Mack,Doctor of Optometry (O.D.),93,immunology,online,
Connie Haas,Doctor of Optometry (O.D.),55,physiotherapy,online,
Michelle Wise,Doctor of Dental Surgery (D.D.S.),97,immunology,on-campus,PT
Douglas Garcia,Doctor of Pharmacy (Pharm.D.),79,,online,FT
Craig Williams,Doctor of Pharmacy (Pharm.D.),90,nutrition,,
Tara Harris MD,Doctor of Physical Therapy (D.P.T.),86,dentistry,,FT
Megan Bowers,Bachelor of Science in Nursing (B.S.N.),76,nursing,online,PT
